1PG,1-PAGE LIMITED,1.940
1ST,1ST AVAILABLE LTD,0.135
3DM,3D MEDICAL LIMITED,0.115
3PL,3P LEARNING LIMITED..,2.220
88E,88 ENERGY LIMITED,0.014
8CO,8COMMON LIMITED,0.220
8IH,8I HOLDINGS LTD,0.860
A2M,THE A2 MILK COMPANY LIMITED,0.640
AAA,BETASHARES AUSTRALIAN HIGH INTEREST CASH ETF,50.180
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,1.235
AACKOA,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.325
AACKOB,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
AAD,ARDENT LEISURE GROUP,2.170
AADKOB,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.820
AADKOC,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.505
AADKOP,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.640
AADKOQ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.590
AAI,ALCOA INC.                                                  ,18.980
AAJ,ARUMA RESOURCES LIMITED,0.007
AAK,AUSTRALIA CHINA HOLDINGS LIMITED,0.001
AAL,APAC COAL LIMITED,0.003
AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,0.012
AAR,ANGLO AUSTRALIAN RESOURCES NL,0.007
AAT,AAT CORPORATION LIMITED,-
AAU,ADCORP AUSTRALIA LIMITED                                    ,0.036
AAX,AUSENCO LIMITED,0.250
AB1,ANIMOCA BRANDS CORPORATION LIMITED,0.170
ABA,AUSWIDE BANK LTD,5.050
ABC,ADELAIDE BRIGHTON LIMITED,4.310
ABCKOD,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.535
ABCKOE,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.995
ABCKOP,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.815
ABCKOQ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.740
ABCSSO,UBS AG,-
ABF,AUSMANI LIMITED,-
ABL,ABILENE OIL AND GAS LIMITED,0.025
ABP,ABACUS PROPERTY GROUP,2.920
ABU,ABM RESOURCES NL,0.250
ABV,ADVANCED BRAKING TECHNOLOGY LTD,0.006
ABW,AURORA ABSOLUTE RETURN FUND,0.950
ABX,AUSTRALIAN BAUXITE LIMITED.,0.265
ABY,ADITYA BIRLA MINERALS LIMITED,0.220
ACB,A-CAP RESOURCES LIMITED,0.026
ACE,ADVANCED ENGINE COMPONENTS LIMITED,-
ACG,ATCOR MEDICAL HOLDINGS LIMITED,0.180
ACK,AUSTOCK GROUP LIMITED,0.430
ACL,ALCHEMIA LIMITED,0.032
ACO,AUSTRALIAN CAREERS NETWORK LIMITED,1.765
ACP,AUDALIA RESOURCES LIMITED,0.225
ACQ,ACORN CAPITAL INVESTMENT FUND LIMITED,0.700
ACR,ACRUX LIMITED,0.850
ACS,ACCENT RESOURCES NL,0.135
ACU,ACTIVISTIC LIMITED,0.140
ACW,ACTINOGEN LIMITED,0.072
ACX,ACONEX LIMITED,3.130
ADA,ADACEL TECHNOLOGIES LIMITED,0.625
ADD,ADAVALE RESOURCES LIMITED,0.018
ADH,ADAIRS LIMITED,2.660
ADJ,ADSLOT LTD,0.090
ADN,ADELAIDE RESOURCES LIMITED,0.023
ADO,ANTEO DIAGNOSTICS LIMITED,0.078
ADQ,ADG GLOBAL SUPPLY LIMITED.,0.011
ADV,ARDIDEN LTD,0.006
ADX,ADX ENERGY LTD,0.003
ADY,ADMIRALTY RESOURCES NL.,0.019
AEB,ALGAE.TEC LIMITED,0.061
AED,AED OIL LIMITED,0.145
AEE,AURA ENERGY LIMITED,0.020
AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED,58.800
AEI,AERIS ENVIRONMENTAL LTD,0.440
AEJ,REDBANK ENERGY LIMITED,8.000
AEK,ANATOLIA ENERGY LIMITED,0.077
AER,AEERIS LTD,0.180
AES,ADVANCED ENERGY SYSTEMS LIMITED,0.035
AFA,ASF GROUP LIMITED,0.340
AFG,AUSTRALIAN FINANCE GROUP LTD,1.000
AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,6.120
AFIG,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,116.500
AFIJOH,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.520
AFISZB,RBS ALTERNATIVE INVESTMENTS (AUSTRALIA) PTY LTD,3.850
AFJ,AFFINITY EDUCATION GROUP LIMITED,0.810
AFR,AFRICAN ENERGY RESOURCES LIMITED,0.068
AFT,AFT CORPORATION LIMITED,0.001
AGD,AUSTRAL GOLD LIMITED,0.150
AGE,ALLIGATOR ENERGY LIMITED,0.037
AGF,AMP CAPITAL CHINA GROWTH FUND,1.450
AGG,ANGLOGOLD ASHANTI LIMITED,2.310
AGH,AGRI - TRADE HOLDINGS LIMITED,-
AGI,AINSWORTH GAME TECHNOLOGY LIMITED,2.570
AGIKOA,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.650
AGIKOB,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.540
AGJ,AGRICULTURAL LAND TRUST,0.082
AGL,AGL ENERGY LIMITED.,15.550
AGLHA,AGL ENERGY LIMITED.,104.500
AGLIOV,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),7.420
AGLISA,UBS AG,1.745
AGLISI,UBS AG,-
AGLISZ,UBS AG,-
AGLIYA,COMMONWEALTH BANK OF AUSTRALIA.                             ,8.620
AGLIYB,COMMONWEALTH BANK OF AUSTRALIA.                             ,5.630
AGLIYE,COMMONWEALTH BANK OF AUSTRALIA.                             ,8.630
AGLIYF,COMMONWEALTH BANK OF AUSTRALIA.                             ,6.100
AGLJOC,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),6.890
AGLJOP,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),5.910
AGLJOQ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
AGLKOA,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
AGLKOB,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.130
AGLKOC,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.820
AGLKOD,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.750
AGLKOP,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.760
AGLKOQ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
AGLKOR,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.800
AGLSMY,MACQUARIE BANK LIMITED.,5.220
AGLSO1,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),8.100
AGLSOB,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
AGLSRT,THE ROYAL BANK OF SCOTLAND PLC,7.640
AGLSRU,THE ROYAL BANK OF SCOTLAND PLC,9.560
AGLSS1,UBS AG,0.935
AGLSSA,UBS AG,6.700
